Ore Name,ItemStack,Item ID,Display Name,Wildcard
AcaciaPlanks,1xtile.for.planks@2,Forestry:planks,Desert Acacia Wood Planks,false
AcaciaPlanks,1xtile.for.planksFireproof@2,Forestry:planksFireproof,Desert Acacia Wood Planks (Fireproof),false
AcaciaSlab,1xtile.for.slabs@2,Forestry:slabs,Desert Acacia Wood Slab,false
AcaciaSlab,1xtile.for.slabsFireproof@2,Forestry:slabsFireproof,Desert Acacia Wood Slab (Fireproof),false
BalsaPlanks,1xtile.for.planks@11,Forestry:planks,Balsa Wood Planks,false
BalsaPlanks,1xtile.for.planksFireproof@11,Forestry:planksFireproof,Balsa Wood Planks (Fireproof),false
BalsaSlab,1xtile.for.slabs@11,Forestry:slabs,Balsa Wood Slab,false
BalsaSlab,1xtile.for.slabsFireproof@11,Forestry:slabsFireproof,Balsa Wood Slab (Fireproof),false
BaobabPlanks,1xtile.for.planks@6,Forestry:planks,Baobab Wood Planks,false
BaobabPlanks,1xtile.for.planksFireproof@6,Forestry:planksFireproof,Baobab Wood Planks (Fireproof),false
BaobabSlab,1xtile.for.slabs@6,Forestry:slabs,Baobab Wood Slab,false
BaobabSlab,1xtile.for.slabsFireproof@6,Forestry:slabsFireproof,Baobab Wood Slab (Fireproof),false
BigBackpacks,1xitem.backpack@200,Backpack:backpack,Big Backpack,false
BigBackpacks,1xitem.backpack@201,Backpack:backpack,Big Black Backpack,false
BigBackpacks,1xitem.backpack@202,Backpack:backpack,Big Red Backpack,false
BigBackpacks,1xitem.backpack@203,Backpack:backpack,Big Green Backpack,false
BigBackpacks,1xitem.backpack@204,Backpack:backpack,Big Brown Backpack,false
BigBackpacks,1xitem.backpack@205,Backpack:backpack,Big Blue Backpack,false
BigBackpacks,1xitem.backpack@206,Backpack:backpack,Big Purple Backpack,false
BigBackpacks,1xitem.backpack@207,Backpack:backpack,Big Cyan Backpack,false
BigBackpacks,1xitem.backpack@208,Backpack:backpack,Big Light Gray Backpack,false
BigBackpacks,1xitem.backpack@209,Backpack:backpack,Big Gray Backpack,false
BigBackpacks,1xitem.backpack@210,Backpack:backpack,Big Pink Backpack,false
BigBackpacks,1xitem.backpack@211,Backpack:backpack,Big Lime Backpack,false
BigBackpacks,1xitem.backpack@212,Backpack:backpack,Big Yellow Backpack,false
BigBackpacks,1xitem.backpack@213,Backpack:backpack,Big Light Blue Backpack,false
BigBackpacks,1xitem.backpack@214,Backpack:backpack,Big Magenta Backpack,false
BigBackpacks,1xitem.backpack@215,Backpack:backpack,Big Orange Backpack,false
BigBackpacks,1xitem.backpack@216,Backpack:backpack,Big White Backpack,false
CherryPlanks,1xtile.for.planks@15,Forestry:planks,Cherry Wood Planks,false
CherryPlanks,1xtile.for.planksFireproof@15,Forestry:planksFireproof,Cherry Wood Planks (Fireproof),false
CherrySlab,1xtile.for.slabs@15,Forestry:slabs,Cherry Wood Slab,false
CherrySlab,1xtile.for.slabsFireproof@15,Forestry:slabsFireproof,Cherry Wood Slab (Fireproof),false
ChestnutPlanks,1xtile.for.planks@4,Forestry:planks,Chestnut Wood Planks,false
ChestnutPlanks,1xtile.for.planksFireproof@4,Forestry:planksFireproof,Chestnut Wood Planks (Fireproof),false
ChestnutSlab,1xtile.for.slabs@4,Forestry:slabs,Chestnut Wood Slab,false
ChestnutSlab,1xtile.for.slabsFireproof@4,Forestry:slabsFireproof,Chestnut Wood Slab (Fireproof),false
CitrusPlanks,1xtile.for.planks@23,Forestry:planks,Citrus Wood Planks,false
CitrusPlanks,1xtile.for.planksFireproof@23,Forestry:planksFireproof,Citrus Wood Planks (Fireproof),false
CitrusSlab,1xtile.for.slabs@23,Forestry:slabs,Citrus Wood Slab,false
CitrusSlab,1xtile.for.slabsFireproof@23,Forestry:slabsFireproof,Citrus Wood Slab (Fireproof),false
CompressedAdamantite,1xitem.CompressedPlates@0,GalaxySpace:item.CompressedPlates,Compressed Adamantite,false
CompressedCobalt,1xitem.CompressedPlates@1,GalaxySpace:item.CompressedPlates,Compressed Cobalt,false
CompressedCobaltum,1xitem.CompressedPlates@1,GalaxySpace:item.CompressedPlates,Compressed Cobalt,false
CompressedDuralumin,1xitem.CompressedPlates@2,GalaxySpace:item.CompressedPlates,Compressed Duralumin,false
CompressedLead,1xitem.CompressedPlates@3,GalaxySpace:item.CompressedPlates,Compressed Lead,false
CompressedMagnesium,1xitem.CompressedPlates@4,GalaxySpace:item.CompressedPlates,Compressed Magnesium,false
CompressedMithril,1xitem.CompressedPlates@5,GalaxySpace:item.CompressedPlates,Compressed Mithril,false
CompressedNickel,1xitem.CompressedPlates@6,GalaxySpace:item.CompressedPlates,Compressed Nickel,false
CompressedOriharukon,1xitem.CompressedPlates@7,GalaxySpace:item.CompressedPlates,Compressed Oriharukon,false
CompressedPlatinum,1xitem.CompressedPlates@8,GalaxySpace:item.CompressedPlates,Compressed Platinum,false
CompressedTungsten,1xitem.CompressedPlates@9,GalaxySpace:item.CompressedPlates,Compressed Tungsten,false
EbonyPlanks,1xtile.for.planks@9,Forestry:planks,Ebony Wood Planks,false
EbonyPlanks,1xtile.for.planksFireproof@9,Forestry:planksFireproof,Ebony Wood Planks (Fireproof),false
EbonySlab,1xtile.for.slabs@9,Forestry:slabs,Ebony Wood Slab,false
EbonySlab,1xtile.for.slabsFireproof@9,Forestry:slabsFireproof,Ebony Wood Slab (Fireproof),false
GreenheartPlanks,1xtile.for.planks@14,Forestry:planks,Greenheart Wood Planks,false
GreenheartPlanks,1xtile.for.planksFireproof@14,Forestry:planksFireproof,Greenheart Wood Planks (Fireproof),false
GreenheartSlabs,1xtile.for.slabs@14,Forestry:slabs,Greenheart Wood Slab,false
GreenheartSlabs,1xtile.for.slabsFireproof@14,Forestry:slabsFireproof,Greenheart Wood Slab (Fireproof),false
KapokPlanks,1xtile.for.planks@8,Forestry:planks,Kapok Wood Planks,false
KapokPlanks,1xtile.for.planksFireproof@8,Forestry:planksFireproof,Kapok Wood Planks (Fireproof),false
KapokSlabs,1xtile.for.slabs@8,Forestry:slabs,Kapok Wood Slab,false
KapokSlabs,1xtile.for.slabsFireproof@8,Forestry:slabsFireproof,Kapok Wood Slab (Fireproof),false
LarchPlanks,1xtile.for.planks@0,Forestry:planks,Larch Wood Planks,false
LarchPlanks,1xtile.for.planksFireproof@0,Forestry:planksFireproof,Larch Wood Planks (Fireproof),false
LarchSlabs,1xtile.for.slabs@0,Forestry:slabs,Larch Wood Slab,false
LarchSlabs,1xtile.for.slabsFireproof@0,Forestry:slabsFireproof,Larch Wood Slab (Fireproof),false
LimePlanks,1xtile.for.planks@3,Forestry:planks,Lime Wood Planks,false
LimePlanks,1xtile.for.planksFireproof@3,Forestry:planksFireproof,Lime Wood Planks (Fireproof),false
LimeSlabs,1xtile.for.slabs@3,Forestry:slabs,Lime Wood Slab,false
LimeSlabs,1xtile.for.slabsFireproof@3,Forestry:slabsFireproof,Lime Wood Slab (Fireproof),false
MahoePlanks,1xtile.for.planks@16,Forestry:planks,Mahoe Wood Planks,false
MahoePlanks,1xtile.for.planksFireproof@16,Forestry:planksFireproof,Mahoe Wood Planks (Fireproof),false
MahoeSlabs,1xtile.for.slabs@16,Forestry:slabs,Mahoe Wood Slab,false
MahoeSlabs,1xtile.for.slabsFireproof@16,Forestry:slabsFireproof,Mahoe Wood Slab (Fireproof),false
MahoganyPlanks,1xtile.for.planks@10,Forestry:planks,Mahogany Wood Planks,false
MahoganyPlanks,1xtile.for.planksFireproof@10,Forestry:planksFireproof,Mahogany Wood Planks (Fireproof),false
MahoganySlabs,1xtile.for.slabs@10,Forestry:slabs,Mahogany Wood Slab,false
MahoganySlabs,1xtile.for.slabsFireproof@10,Forestry:slabsFireproof,Mahogany Wood Slab (Fireproof),false
MapplePlanks,1xtile.for.planks@22,Forestry:planks,Maple Wood Planks,false
MapplePlanks,1xtile.for.planksFireproof@22,Forestry:planksFireproof,Maple Wood Planks (Fireproof),false
MappleSlabs,1xtile.for.slabs@22,Forestry:slabs,Maple Wood Slab,false
MappleSlabs,1xtile.for.slabsFireproof@22,Forestry:slabsFireproof,Maple Wood Slab (Fireproof),false
MediumBackpacks,1xitem.backpack@100,Backpack:backpack,Middle Backpack,false
MediumBackpacks,1xitem.backpack@101,Backpack:backpack,Middle Black Backpack,false
MediumBackpacks,1xitem.backpack@102,Backpack:backpack,Middle Red Backpack,false
MediumBackpacks,1xitem.backpack@103,Backpack:backpack,Middle Green Backpack,false
MediumBackpacks,1xitem.backpack@104,Backpack:backpack,Middle Brown Backpack,false
MediumBackpacks,1xitem.backpack@105,Backpack:backpack,Middle Blue Backpack,false
MediumBackpacks,1xitem.backpack@106,Backpack:backpack,Middle Purple Backpack,false
MediumBackpacks,1xitem.backpack@107,Backpack:backpack,Middle Cyan Backpack,false
MediumBackpacks,1xitem.backpack@108,Backpack:backpack,Middle Light Gray Backpack,false
MediumBackpacks,1xitem.backpack@109,Backpack:backpack,Middle Gray Backpack,false
MediumBackpacks,1xitem.backpack@110,Backpack:backpack,Middle Pink Backpack,false
MediumBackpacks,1xitem.backpack@111,Backpack:backpack,Middle Lime Backpack,false
MediumBackpacks,1xitem.backpack@112,Backpack:backpack,Middle Yellow Backpack,false
MediumBackpacks,1xitem.backpack@113,Backpack:backpack,Middle Light Blue Backpack,false
MediumBackpacks,1xitem.backpack@114,Backpack:backpack,Middle Magenta Backpack,false
MediumBackpacks,1xitem.backpack@115,Backpack:backpack,Middle Orange Backpack,false
